,id,vehicle.trip.trip_id,vehicle.trip.start_date,vehicle.trip.route_id,vehicle.trip.direction_id,vehicle.position.latitude,vehicle.position.longitude,vehicle.position.bearing,vehicle.position.speed,vehicle.timestamp,vehicle.vehicle.id,vehicle.vehicle.label,vehicle.occupancy_status,vehicle.occupancy_percentage
0,120,326916,20240918,56,13,36.23643112182617,-86.72442626953125,8.0,17.88159942626953,1726689044,2062,120,1.0,20.0
1,128,326593,20240918,55,16,36.071929931640625,-86.63643646240234,140.0,0.44703999161720276,1726689042,2070,128,,
2,129,325805,20240918,50,16,36.15901184082031,-86.80487823486328,336.0,,1726689044,2071,129,,
3,130,326601,20240918,55,16,36.14577102661133,-86.75293731689453,292.0,,1726689045,2072,130,1.0,20.0
4,131,326604,20240918,55,16,36.07175064086914,-86.63629150390625,16.0,4.470399856567383,1726689045,2074,131,,
5,134,326500,20240918,55,13,36.16312026977539,-86.77867889404297,152.0,4.470399856567383,1726689044,2079,134,2.0,40.0
6,137,326497,20240918,55,13,36.110198974609375,-86.68273162841797,135.0,,1726689045,2082,137,1.0,20.0
7,139,326605,20240918,55,16,36.05261993408203,-86.65499114990234,220.0,,1726689045,2084,139,,
8,140,326600,20240918,55,16,36.15740966796875,-86.7742919921875,236.0,,1726689044,2085,140,2.0,20.0
9,721,324819,20240918,3,13,36.160648345947266,-86.7785415649414,332.0,4.470399856567383,1726689044,2193,721,,
10,722,323325,20240918,18,13,36.159080505371094,-86.7821273803711,148.0,,1726689045,2194,722,1.0,
11,723,328384,20240918,79,17,36.24372100830078,-86.76080322265625,16.0,6.705599784851074,1726689045,2195,723,1.0,
12,727,324835,20240918,3,16,36.14337921142578,-86.85778045654297,172.0,13.411199569702148,1726689045,2199,727,,
13,731,326070,20240918,52,13,36.144691467285156,-86.76651763916016,152.0,2.2351999282836914,1726689045,2203,731,1.0,40.0
14,1702,324768,20240918,3,13,36.131858825683594,-86.85746765136719,336.0,13.411199569702148,1726689045,2648,1702,,
15,1700,327767,20240918,71,18,36.207000732421875,-86.79486846923828,280.0,22.351999282836914,1726689045,2649,1700,,
16,1761,326498,20240918,55,13,36.13589859008789,-86.7253189086914,132.0,15.646400451660156,1726689044,2653,1761,2.0,40.0
17,1762,326603,20240918,55,16,36.119510650634766,-86.70176696777344,312.0,17.88159942626953,1726689046,2654,1762,1.0,20.0
18,1800,328746,20240918,9,16,36.185428619384766,-86.81832885742188,265.0,,1726689045,2695,1800,,
19,1801,326152,20240918,52,16,36.134769439697266,-86.75935363769531,332.0,8.940799713134766,1726689045,2696,1801,1.0,20.0
20,1802,327538,20240918,7,16,36.13420867919922,-86.80107879638672,356.0,,1726689043,2697,1802,1.0,
21,1803,326149,20240918,52,16,36.10792922973633,-86.72057342529297,144.0,4.470399856567383,1726689044,2698,1803,,
22,1804,324102,20240918,23,13,36.1668586730957,-86.78134155273438,64.0,,1726689045,2699,1804,1.0,20.0
23,1806,325481,20240918,42,13,36.174049377441406,-86.79177856445312,332.0,13.411199569702148,1726689045,2701,1806,1.0,20.0
24,1807,324879,20240918,3,16,36.07310104370117,-86.93505096435547,340.0,8.940799713134766,1726689045,2702,1807,,
25,1808,325848,20240918,50,16,36.13404846191406,-86.8897933959961,64.0,15.646400451660156,1726689045,2703,1808,1.0,40.0
26,1811,324182,20240918,23,16,36.20606994628906,-86.76856994628906,196.0,,1726689044,2706,1811,1.0,20.0
27,1814,324183,20240918,23,16,36.244178771972656,-86.76055145263672,16.0,,1726689045,2709,1814,,
28,1815,323163,20240918,17,13,36.14072036743164,-86.78749084472656,188.0,13.411199569702148,1726689045,2710,1815,1.0,20.0
29,1816,327472,20240918,7,13,36.12942886352539,-86.80249786376953,200.0,11.175999641418457,1726689045,2711,1816,1.0,
30,1818,328745,20240918,9,16,36.189701080322266,-86.79736328125,164.0,10.728960037231445,1726689044,2713,1818,1.0,
31,1821,324405,20240918,28,16,36.19425964355469,-86.76313018798828,184.0,2.2351999282836914,1726689045,2716,1821,,
32,1823,323800,20240918,22,13,36.1788215637207,-86.79502868652344,327.0,,1726689045,2718,1823,1.0,20.0
33,1824,327473,20240918,7,13,36.160221099853516,-86.7824935913086,232.0,2.2351999282836914,1726689044,2719,1824,2.0,40.0
34,1827,324878,20240918,3,16,36.13148880004883,-86.83386993408203,72.0,11.175999641418457,1726689045,2722,1827,1.0,20.0
35,1828,326621,20240918,55,16,36.146549224853516,-86.7437973022461,188.0,13.411199569702148,1726689046,2723,1828,,
36,407,328201,20240918,77,17,36.187599182128906,-86.82189178466797,36.0,,1726689045,2727,407,7.0,
37,1900,325461,20240918,41,16,36.16695022583008,-86.78138732910156,228.0,,1726689044,2745,1900,,
38,1902,325307,20240918,4,16,36.17097091674805,-86.73734283447266,188.0,11.175999641418457,1726689044,2747,1902,,
39,1903,323654,20240918,22,16,36.17340850830078,-86.79154205322266,148.0,,1726689044,2748,1903,1.0,20.0
40,1904,324877,20240918,3,16,36.165340423583984,-86.78314971923828,60.0,6.705599784851074,1726689044,2749,1904,,
